"";"Site";"Site_short";"Altitude";"Horizon";"Zone_echantillonage";"rep_pcr";"EXTRACTION.CODE";"Milieu";"Code_plot";"X";"Gradient";"Carbon";"Nitrogen";"pH";"Organic_matter_2mm";"EEA_AG";"EEA_BG";"EEA_CB";"EEA_LAP";"EEA_XYL";"EEA_PHOS";"EEA_NAG";"Environment";"Alt_groups";"sample";"category";"site";"chlorophyceae_part";"dist_barycenter"
"ANT01_a";"ANTERNE";"ANT";1400;"LIT";"A";1;"ANT01";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT01_a";"sample";"ANT";0,190803019903912;0,515250132391888
"ANT02_b";"ANTERNE";"ANT";1400;"LIT";"B";2;"ANT02";"Milieu forestier";"ANT_1400_LIT";1;"ANT";14,3479026133333;0,679911554;4,77;28,372606775;512,226666666667;3012,87666666667;496,536666666667;300,41;620,3;22416,8533333333;2606,59333333333;"Milieu forestier";1500;"ANT02_b";"sample";"ANT";0,0368687935770125;0,68693154899926
"ANT04_b";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04_b";"sample";"ANT";0,326530612244898;0,575631234995422
"ANT04_c";"ANTERNE";"ANT";1400;"SOL";"A";4;"ANT04";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT04_c";"sample";"ANT";0,0499149177538287;0,497597503578603
"ANT06_a";"ANTERNE";"ANT";1400;"SOL";"C";6;"ANT06";"Milieu forestier";"ANT_1400_SOL";2;"ANT";4,26290607433333;0,315231124666667;4,7425;9,22129087533333;156,296666666667;411,743333333333;60,79;119,87;208,136666666667;4959,12666666667;326,443333333333;"Milieu forestier";1500;"ANT06_a";"sample";"ANT";0,000439831104855735;0,674959023705692
"ANT13_a";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_a";"sample";"ANT";0,169014084507042;0,617211786318101
"ANT13_b";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_b";"sample";"ANT";0,160984848484848;0,583671178672491
"ANT13_c";"ANTERNE";"ANT";1750;"LIT";"A";13;"ANT13";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT13_c";"sample";"ANT";0,0627002926013655;0,570028506547485
"ANT15_a";"ANTERNE";"ANT";1750;"LIT";"C";15;"ANT15";"Milieu ouvert";"ANT_1750_LIT";5;"ANT";7,51916980733333;0,686040123333333;5,6;15,8003328166667;368,493333333333;3199,64333333333;710,273333333333;273,413333333333;547,98;6031,96;956,236666666667;"Milieu ouvert";2000;"ANT15_a";"sample";"ANT";0,261450381679389;0,570185592136276
"ANT19_c";"ANTERNE";"ANT";2040;"LIT";"A";19;"ANT19";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT19_c";"sample";"ANT";0,141835518474374;0
"ANT20_a";"ANTERNE";"ANT";2040;"LIT";"B";20;"ANT20";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT20_a";"sample";"ANT";0,136239782016349;0
"ANT21_c";"ANTERNE";"ANT";2040;"LIT";"C";21;"ANT21";"Milieu ouvert";"ANT_2040_LIT";7;"ANT";12,69547208;0,867849648;4,27;27,6628094883333;656,843333333333;3174,04333333333;848,563333333333;416,16;2595,49333333333;20979,6266666667;1187,50333333333;"Milieu ouvert";2500;"ANT21_c";"sample";"ANT";0,189433962264151;0
"ANT24_c";"ANTERNE";"ANT";2040;"SOL";"C";24;"ANT24";"Milieu ouvert";"ANT_2040_SOL";8;"ANT";5,73309214933333;0,437751124;4,42666666666667;12,207907925;289,21;806,216666666667;143,713333333333;196,393333333333;712,636666666667;7699,41666666667;362,543333333333;"Milieu ouvert";2500;"ANT24_c";"sample";"ANT";0,145954962468724;0
"ANT26_a";"ANTERNE";"ANT";2200;"LIT";"B";26;"ANT26";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT26_a";"sample";"ANT";0,218181818181818;0,516257530763695
"ANT26_b";"ANTERNE";"ANT";2200;"LIT";"B";26;"ANT26";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT26_b";"sample";"ANT";0,0301460197833255;0,516257530763695
"ANT27_c";"ANTERNE";"ANT";2200;"LIT";"C";27;"ANT27";"Milieu ouvert";"ANT_2200_LIT";9;"ANT";6,59934067733333;0,506246010333333;4,60333333333333;12,336253016;439,096666666667;2508,57;476,043333333333;265,993333333333;982,186666666667;11490,7533333333;1416,27;"Milieu ouvert";2500;"ANT27_c";"sample";"ANT";0,243198680956307;0
"ANT29_b";"ANTERNE";"ANT";2200;"SOL";"B";29;"ANT29";"Milieu ouvert";"ANT_2200_SOL";10;"ANT";2,95948441833333;0,289983620333333;4,71;6,5543370294;246,426666666667;507,89;82,4066666666667;142,456666666667;296,153333333333;3091,44;385,343333333333;"Milieu ouvert";2500;"ANT29_b";"sample";"ANT";0,157388316151203;0,653072637992074
"ANT31_a";"ANTERNE";"ANT";2370;"LIT";"A";31;"ANT31";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT31_a";"sample";"ANT";0,121367521367521;0,581544781308612
"ANT31_c";"ANTERNE";"ANT";2370;"LIT";"A";31;"ANT31";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT31_c";"sample";"ANT";0,0695517774343122;0,647154846211845
"ANT32_a";"ANTERNE";"ANT";2370;"LIT";"B";32;"ANT32";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT32_a";"sample";"ANT";0,236084828711256;0,572249478216853
"ANT32_b";"ANTERNE";"ANT";2370;"LIT";"B";32;"ANT32";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT32_b";"sample";"ANT";0,0840567435951726;0,488402786102303
"ANT32_c";"ANTERNE";"ANT";2370;"LIT";"B";32;"ANT32";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT32_c";"sample";"ANT";0,16198347107438;0,438240816206543
"ANT33_a";"ANTERNE";"ANT";2370;"LIT";"C";33;"ANT33";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT33_a";"sample";"ANT";0,0366915422885572;0,465155365211877
"ANT33_b";"ANTERNE";"ANT";2370;"LIT";"C";33;"ANT33";"Milieu ouvert";"ANT_2370_LIT";11;"ANT";3,54701693866667;0,286547134333333;5,23333333333333;8,45627145183333;168,1;1197,81666666667;201,4;120,473333333333;370,646666666667;3808,25666666667;690,33;"Milieu ouvert";2500;"ANT33_b";"sample";"ANT";0,0920524972657674;0,465155365211877
"ANT34_a";"ANTERNE";"ANT";2370;"SOL";"A";34;"ANT34";"Milieu ouvert";"ANT_2370_SOL";12;"ANT";1,32113087166667;0,152959334333333;5,09;5,276675898;47;271,996666666667;25,98;50,5933333333333;105,306666666667;1053,21333333333;199,92;"Milieu ouvert";2500;"ANT34_a";"sample";"ANT";0,000441735135612687;0,676230707532848
"CHA01_c";"CHAMROUSSE";"CHA";1250;"LIT";"A";1;"CHA01";"Milieu forestier";"CHA_1250_LIT";13;"CHA";9,20607630466667;0,620745420333333;5,06;16,9970209866667;7,16666666666667;588,103333333333;104,73;306,583333333333;145,87;4593,30666666667;538,74;"Milieu forestier";1500;"CHA01_c";"sample";"CHA";0,0397614314115308;0,47490099569228
"CHA06_a";"CHAMROUSSE";"CHA";1250;"SOL";"C";6;"CHA06";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA06_a";"sample";"CHA";0,0796228391828182;0,656136501860285
"CHA06_b";"CHAMROUSSE";"CHA";1250;"SOL";"C";6;"CHA06";"Milieu forestier";"CHA_1250_SOL";14;"CHA";6,41480191566667;0,488991846666667;5,3;11,94807311;8,69666666666667;347,176666666667;60,5766666666667;190,98;101,233333333333;3190,69666666667;253,74;"Milieu forestier";1500;"CHA06_b";"sample";"CHA";0,0929368029739777;0,61576074151006
"CHA07_b";"CHAMROUSSE";"CHA";1470;"LIT";"A";7;"CHA07";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA07_b";"sample";"CHA";0,0442076904237081;0,478272306849444
"CHA07_c";"CHAMROUSSE";"CHA";1470;"LIT";"A";7;"CHA07";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA07_c";"sample";"CHA";0,0106767009300049;0,687496914790011
"CHA08_a";"CHAMROUSSE";"CHA";1470;"LIT";"B";8;"CHA08";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA08_a";"sample";"CHA";0,0195156014554008;0,411053305391456
"CHA09_a";"CHAMROUSSE";"CHA";1470;"LIT";"C";9;"CHA09";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA09_a";"sample";"CHA";0,014460511679644;0,461403569421725
"CHA09_b";"CHAMROUSSE";"CHA";1470;"LIT";"C";9;"CHA09";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA09_b";"sample";"CHA";0,155637492722686;0,476302349653553
"CHA09_c";"CHAMROUSSE";"CHA";1470;"LIT";"C";9;"CHA09";"Milieu forestier";"CHA_1470_LIT";15;"CHA";14,8978862766667;0,798113783;4,74333333333333;28,1482645;6,25;985,213333333333;116,846666666667;246,83;192,993333333333;10013,02;496,896666666667;"Milieu forestier";1500;"CHA09_c";"sample";"CHA";0,0308561495002173;0,633611596499198
"CHA13_a";"CHAMROUSSE";"CHA";1710;"LIT";"A";13;"CHA13";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA13_a";"sample";"CHA";0,067949038221334;0,510782076164786
"CHA13_c";"CHAMROUSSE";"CHA";1710;"LIT";"A";13;"CHA13";"Milieu forestier";"CHA_1710_LIT";17;"CHA";29,51425934;1,213865697;4,50666666666667;56,3556778166667;94,6;4829,76666666667;1086,47;465,283333333333;880,573333333333;28366,07;2044,97666666667;"Milieu forestier";2000;"CHA13_c";"sample";"CHA";0,0191919191919192;0,389094034959183
"CHA16_a";"CHAMROUSSE";"CHA";1710;"SOL";"A";16;"CHA16";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA16_a";"sample";"CHA";0,00287047003946896;0,442806259083052
"CHA16_b";"CHAMROUSSE";"CHA";1710;"SOL";"A";16;"CHA16";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA16_b";"sample";"CHA";0,0420792079207921;0,387288056315802
"CHA18_a";"CHAMROUSSE";"CHA";1710;"SOL";"C";18;"CHA18";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA18_a";"sample";"CHA";0,0253729048131632;0,448731577619147
"CHA18_c";"CHAMROUSSE";"CHA";1710;"SOL";"C";18;"CHA18";"Milieu forestier";"CHA_1710_SOL";18;"CHA";18,8421786633333;0,887111683666667;4,48333333333333;36,6092340566667;0;1042,28333333333;107,656666666667;196,286666666667;274,816666666667;16021,88;618,97;"Milieu forestier";2000;"CHA18_c";"sample";"CHA";0,0932203389830508;0,664657291231936
"CHA19_a";"CHAMROUSSE";"CHA";1890;"LIT";"A";19;"CHA19";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA19_a";"sample";"CHA";0,0148138350638185;0,424989205908765
"CHA19_b";"CHAMROUSSE";"CHA";1890;"LIT";"A";19;"CHA19";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA19_b";"sample";"CHA";0,0456341618865519;0,382692637393808
"CHA19_c";"CHAMROUSSE";"CHA";1890;"LIT";"A";19;"CHA19";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA19_c";"sample";"CHA";0,0855210819411297;0,445399790212705
"CHA20_a";"CHAMROUSSE";"CHA";1890;"LIT";"B";20;"CHA20";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA20_a";"sample";"CHA";0,11165206101915;0,368743431191763
"CHA20_b";"CHAMROUSSE";"CHA";1890;"LIT";"B";20;"CHA20";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA20_b";"sample";"CHA";0,120317670416942;0,328202943186594
"CHA20_c";"CHAMROUSSE";"CHA";1890;"LIT";"B";20;"CHA20";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA20_c";"sample";"CHA";0,210220673635308;0,417611596827562
"CHA21_a";"CHAMROUSSE";"CHA";1890;"LIT";"C";21;"CHA21";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA21_a";"sample";"CHA";0,0300707547169811;0,570149026127947
"CHA21_b";"CHAMROUSSE";"CHA";1890;"LIT";"C";21;"CHA21";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA21_b";"sample";"CHA";0,0946664640632123;0,501910681333153
"CHA21_c";"CHAMROUSSE";"CHA";1890;"LIT";"C";21;"CHA21";"Milieu forestier";"CHA_1890_LIT";19;"CHA";12,353866578;0,744997600666667;4,99333333333333;24,0010330366667;5,49;1323,10333333333;227,876666666667;312,22;314,383333333333;6553,82;639,31;"Milieu forestier";2000;"CHA21_c";"sample";"CHA";0,0258922323303009;0,476954275406951
"CHA22_a";"CHAMROUSSE";"CHA";1890;"SOL";"A";22;"CHA22";"Milieu forestier";"CHA_1890_SOL";20;"CHA";9,913384119;0,644944449333333;5,13333333333333;17,71114423;67,6;1088,80333333333;165,22;205,43;258,946666666667;5542,40666666667;564,373333333333;"Milieu forestier";2000;"CHA22_a";"sample";"CHA";0,0245400525654211;0,445494444841229
"CHA22_b";"CHAMROUSSE";"CHA";1890;"SOL";"A";22;"CHA22";"Milieu forestier";"CHA_1890_SOL";20;"CHA";9,913384119;0,644944449333333;5,13333333333333;17,71114423;67,6;1088,80333333333;165,22;205,43;258,946666666667;5542,40666666667;564,373333333333;"Milieu forestier";2000;"CHA22_b";"sample";"CHA";0,0215904480380224;0,410036900573636
"CHA22_c";"CHAMROUSSE";"CHA";1890;"SOL";"A";22;"CHA22";"Milieu forestier";"CHA_1890_SOL";20;"CHA";9,913384119;0,644944449333333;5,13333333333333;17,71114423;67,6;1088,80333333333;165,22;205,43;258,946666666667;5542,40666666667;564,373333333333;"Milieu forestier";2000;"CHA22_c";"sample";"CHA";0,0415561450044209;0,578489803527832
"CHA23_a";"CHAMROUSSE";"CHA";1890;"SOL";"B";23;"CHA23";"Milieu forestier";"CHA_1890_SOL";20;"CHA";9,913384119;0,644944449333333;5,13333333333333;17,71114423;67,6;1088,80333333333;165,22;205,43;258,946666666667;5542,40666666667;564,373333333333;"Milieu forestier";2000;"CHA23_a";"sample";"CHA";0,24088027747877;0,298587849973554
"CHA23_b";"CHAMROUSSE";"CHA";1890;"SOL";"B";23;"CHA23";"Milieu forestier";"CHA_1890_SOL";20;"CHA";9,913384119;0,644944449333333;5,13333333333333;17,71114423;67,6;1088,80333333333;165,22;205,43;258,946666666667;5542,40666666667;564,373333333333;"Milieu forestier";2000;"CHA23_b";"sample";"CHA";0,446825523748601;0,298587849973554
"CHA25_a";"CHAMROUSSE";"CHA";2020;"LIT";"A";25;"CHA25";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA25_a";"sample";"CHA";0,0577164366373902;0,38138220818495
"CHA25_b";"CHAMROUSSE";"CHA";2020;"LIT";"A";25;"CHA25";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA25_b";"sample";"CHA";0,0667071412309327;0,373709283560824
"CHA25_c";"CHAMROUSSE";"CHA";2020;"LIT";"A";25;"CHA25";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA25_c";"sample";"CHA";0,115018315018315;0,410379709313475
"CHA26_a";"CHAMROUSSE";"CHA";2020;"LIT";"B";26;"CHA26";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA26_a";"sample";"CHA";0,0839735099337748;0,363012047370777
"CHA26_b";"CHAMROUSSE";"CHA";2020;"LIT";"B";26;"CHA26";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA26_b";"sample";"CHA";0,130192598187311;0,383380495827304
"CHA26_c";"CHAMROUSSE";"CHA";2020;"LIT";"B";26;"CHA26";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA26_c";"sample";"CHA";0,14097272074659;0,362432609714817
"CHA27_a";"CHAMROUSSE";"CHA";2020;"LIT";"C";27;"CHA27";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA27_a";"sample";"CHA";0,0838667716427618;0,403324437834682
"CHA27_c";"CHAMROUSSE";"CHA";2020;"LIT";"C";27;"CHA27";"Milieu ouvert";"CHA_2020_LIT";21;"CHA";13,132443746;0,798998753333333;5,68;25,48992815;24,0533333333333;1430,42666666667;261,403333333333;367,876666666667;352,206666666667;6937,95;701,346666666667;"Milieu ouvert";2500;"CHA27_c";"sample";"CHA";0,0833614579817752;0,403324437834682
"CHA28_a";"CHAMROUSSE";"CHA";2020;"SOL";"A";28;"CHA28";"Milieu ouvert";"CHA_2020_SOL";22;"CHA";8,57298215266667;0,622007429333333;5,59;17,2047546;71,69;1108,90333333333;174,466666666667;225,296666666667;268,736666666667;5627,50666666667;577,5;"Milieu ouvert";2500;"CHA28_a";"sample";"CHA";0,016049194269391;0,588805199974249
