Site;Site_short;Altitude;Horizon;Zone_echantillonage;rep_pcr;EXTRACTION CODE;Milieu
ANTERNE;ANT;1400;LIT;A;01;ANT01;Milieu forestier
ANTERNE;ANT;1400;LIT;B;02;ANT02;Milieu forestier
ANTERNE;ANT;1400;LIT;C;03;ANT03;Milieu forestier
ANTERNE;ANT;1400;SOL;A;04;ANT04;Milieu forestier
ANTERNE;ANT;1400;SOL;B;05;ANT05;Milieu forestier
ANTERNE;ANT;1400;SOL;C;06;ANT06;Milieu forestier
ANTERNE;ANT;1610;LIT;A;07;ANT07;Milieu forestier
ANTERNE;ANT;1610;LIT;B;08;ANT08;Milieu forestier
ANTERNE;ANT;1610;LIT;C;09;ANT09;Milieu forestier
ANTERNE;ANT;1610;SOL;A;10;ANT10;Milieu forestier
ANTERNE;ANT;1610;SOL;B;11;ANT11;Milieu forestier
ANTERNE;ANT;1610;SOL;C;12;ANT12;Milieu forestier
ANTERNE;ANT;1750;LIT;A;13;ANT13;Milieu ouvert
ANTERNE;ANT;1750;LIT;B;14;ANT14;Milieu ouvert
ANTERNE;ANT;1750;LIT;C;15;ANT15;Milieu ouvert
ANTERNE;ANT;1750;SOL;A;16;ANT16;Milieu ouvert
ANTERNE;ANT;1750;SOL;B;17;ANT17;Milieu ouvert
ANTERNE;ANT;1750;SOL;C;18;ANT18;Milieu ouvert
ANTERNE;ANT;2040;LIT;A;19;ANT19;Milieu ouvert
ANTERNE;ANT;2040;LIT;B;20;ANT20;Milieu ouvert
ANTERNE;ANT;2040;LIT;C;21;ANT21;Milieu ouvert
ANTERNE;ANT;2040;SOL;A;22;ANT22;Milieu ouvert
ANTERNE;ANT;2040;SOL;B;23;ANT23;Milieu ouvert
ANTERNE;ANT;2040;SOL;C;24;ANT24;Milieu ouvert
ANTERNE;ANT;2200;LIT;A;25;ANT25;Milieu ouvert
ANTERNE;ANT;2200;LIT;B;26;ANT26;Milieu ouvert
ANTERNE;ANT;2200;LIT;C;27;ANT27;Milieu ouvert
ANTERNE;ANT;2200;SOL;A;28;ANT28;Milieu ouvert
ANTERNE;ANT;2200;SOL;B;29;ANT29;Milieu ouvert
ANTERNE;ANT;2200;SOL;C;30;ANT30;Milieu ouvert
ANTERNE;ANT;2370;LIT;A;31;ANT31;Milieu ouvert
ANTERNE;ANT;2370;LIT;B;32;ANT32;Milieu ouvert
ANTERNE;ANT;2370;LIT;C;33;ANT33;Milieu ouvert
ANTERNE;ANT;2370;SOL;A;34;ANT34;Milieu ouvert
ANTERNE;ANT;2370;SOL;B;35;ANT35;Milieu ouvert
ANTERNE;ANT;2370;SOL;C;36;ANT36;Milieu ouvert
CHAMROUSSE;CHA;1250;LIT;A;01;CHA01;Milieu forestier
CHAMROUSSE;CHA;1250;LIT;B;02;CHA02;Milieu forestier
CHAMROUSSE;CHA;1250;LIT;C;03;CHA03;Milieu forestier
CHAMROUSSE;CHA;1250;SOL;A;04;CHA04;Milieu forestier
CHAMROUSSE;CHA;1250;SOL;B;05;CHA05;Milieu forestier
CHAMROUSSE;CHA;1250;SOL;C;06;CHA06;Milieu forestier
CHAMROUSSE;CHA;1470;LIT;A;07;CHA07;Milieu forestier
CHAMROUSSE;CHA;1470;LIT;B;08;CHA08;Milieu forestier
CHAMROUSSE;CHA;1470;LIT;C;09;CHA09;Milieu forestier
CHAMROUSSE;CHA;1470;SOL;A;10;CHA10;Milieu forestier
CHAMROUSSE;CHA;1470;SOL;B;11;CHA11;Milieu forestier
CHAMROUSSE;CHA;1470;SOL;C;12;CHA12;Milieu forestier
CHAMROUSSE;CHA;1710;LIT;A;13;CHA13;Milieu forestier
CHAMROUSSE;CHA;1710;LIT;B;14;CHA14;Milieu forestier
CHAMROUSSE;CHA;1710;LIT;C;15;CHA15;Milieu forestier
CHAMROUSSE;CHA;1710;SOL;A;16;CHA16;Milieu forestier
CHAMROUSSE;CHA;1710;SOL;B;17;CHA17;Milieu forestier
CHAMROUSSE;CHA;1710;SOL;C;18;CHA18;Milieu forestier
CHAMROUSSE;CHA;1890;LIT;A;19;CHA19;Milieu forestier
CHAMROUSSE;CHA;1890;LIT;B;20;CHA20;Milieu forestier
CHAMROUSSE;CHA;1890;LIT;C;21;CHA21;Milieu forestier
CHAMROUSSE;CHA;1890;SOL;A;22;CHA22;Milieu forestier
CHAMROUSSE;CHA;1890;SOL;B;23;CHA23;Milieu forestier
CHAMROUSSE;CHA;1890;SOL;C;24;CHA24;Milieu forestier
CHAMROUSSE;CHA;2020;LIT;A;25;CHA25;Milieu ouvert
CHAMROUSSE;CHA;2020;LIT;B;26;CHA26;Milieu ouvert
CHAMROUSSE;CHA;2020;LIT;C;27;CHA27;Milieu ouvert
CHAMROUSSE;CHA;2020;SOL;A;28;CHA28;Milieu ouvert
CHAMROUSSE;CHA;2020;SOL;B;29;CHA29;Milieu ouvert
CHAMROUSSE;CHA;2020;SOL;C;30;CHA30;Milieu ouvert
CHAMROUSSE;CHA;2180;LIT;A;31;CHA31;Milieu ouvert
CHAMROUSSE;CHA;2180;LIT;B;32;CHA32;Milieu ouvert
CHAMROUSSE;CHA;2180;LIT;C;33;CHA33;Milieu ouvert
CHAMROUSSE;CHA;2180;SOL;A;34;CHA34;Milieu ouvert
CHAMROUSSE;CHA;2180;SOL;B;35;CHA35;Milieu ouvert
CHAMROUSSE;CHA;2180;SOL;C;36;CHA36;Milieu ouvert
LORIAZ;LOR;1370;LIT;A;01;LOR01;Milieu forestier
LORIAZ;LOR;1370;LIT;B;02;LOR02;Milieu forestier
LORIAZ;LOR;1370;LIT;C;03;LOR03;Milieu forestier
LORIAZ;LOR;1370;SOL;A;04;LOR04;Milieu forestier
LORIAZ;LOR;1370;SOL;B;05;LOR05;Milieu forestier
LORIAZ;LOR;1370;SOL;C;06;LOR06;Milieu forestier
LORIAZ;LOR;1620;LIT;A;07;LOR07;Milieu forestier
LORIAZ;LOR;1620;LIT;B;08;LOR08;Milieu forestier
LORIAZ;LOR;1620;LIT;C;09;LOR09;Milieu forestier
LORIAZ;LOR;1620;SOL;A;10;LOR10;Milieu forestier
LORIAZ;LOR;1620;SOL;B;11;LOR11;Milieu forestier
LORIAZ;LOR;1620;SOL;C;12;LOR12;Milieu forestier
LORIAZ;LOR;1800;LIT;A;13;LOR13;Milieu forestier
LORIAZ;LOR;1800;LIT;B;14;LOR14;Milieu forestier
LORIAZ;LOR;1800;LIT;C;15;LOR15;Milieu forestier
LORIAZ;LOR;1800;SOL;A;16;LOR16;Milieu forestier
LORIAZ;LOR;1800;SOL;B;17;LOR17;Milieu forestier
LORIAZ;LOR;1800;SOL;C;18;LOR18;Milieu forestier
LORIAZ;LOR;1930;LIT;A;19;LOR19;Milieu forestier
LORIAZ;LOR;1930;LIT;B;20;LOR20;Milieu forestier
LORIAZ;LOR;1930;LIT;C;21;LOR21;Milieu forestier
LORIAZ;LOR;1930;SOL;A;22;LOR22;Milieu forestier
LORIAZ;LOR;1930;SOL;B;23;LOR23;Milieu forestier
LORIAZ;LOR;1930;SOL;C;24;LOR24;Milieu forestier
LORIAZ;LOR;2130;LIT;A;25;LOR25;Milieu ouvert
LORIAZ;LOR;2130;LIT;B;26;LOR26;Milieu ouvert
LORIAZ;LOR;2130;LIT;C;27;LOR27;Milieu ouvert
LORIAZ;LOR;2130;SOL;A;28;LOR28;Milieu ouvert
LORIAZ;LOR;2130;SOL;B;29;LOR29;Milieu ouvert
LORIAZ;LOR;2130;SOL;C;30;LOR30;Milieu ouvert
LORIAZ;LOR;2330;LIT;A;31;LOR31;Milieu ouvert
LORIAZ;LOR;2330;LIT;B;32;LOR32;Milieu ouvert
LORIAZ;LOR;2330;LIT;C;33;LOR33;Milieu ouvert
LORIAZ;LOR;2330;SOL;A;34;LOR34;Milieu ouvert
LORIAZ;LOR;2330;SOL;B;35;LOR35;Milieu ouvert
LORIAZ;LOR;2330;SOL;C;36;LOR36;Milieu ouvert
RISTOLAS;RIS;1900;LIT;A;01;RIS01;Milieu forestier
RISTOLAS;RIS;1900;LIT;B;02;RIS02;Milieu forestier
RISTOLAS;RIS;1900;LIT;C;03;RIS03;Milieu forestier
RISTOLAS;RIS;1900;SOL;A;04;RIS04;Milieu forestier
RISTOLAS;RIS;1900;SOL;B;05;RIS05;Milieu forestier
RISTOLAS;RIS;1900;SOL;C;06;RIS06;Milieu ouvert
RISTOLAS;RIS;2195;LIT;A;07;RIS07;Milieu ouvert
RISTOLAS;RIS;2195;LIT;B;08;RIS08;Milieu ouvert
RISTOLAS;RIS;2195;LIT;C;09;RIS09;Milieu ouvert
RISTOLAS;RIS;2195;SOL;A;10;RIS10;Milieu ouvert
RISTOLAS;RIS;2195;SOL;B;11;RIS11;Milieu ouvert
RISTOLAS;RIS;2195;SOL;C;12;RIS12;Milieu ouvert
RISTOLAS;RIS;2340;LIT;A;13;RIS13;Milieu ouvert
RISTOLAS;RIS;2340;LIT;B;14;RIS14;Milieu ouvert
RISTOLAS;RIS;2340;LIT;C;15;RIS15;Milieu ouvert
RISTOLAS;RIS;2340;SOL;A;16;RIS16;Milieu ouvert
RISTOLAS;RIS;2340;SOL;B;17;RIS17;Milieu ouvert
RISTOLAS;RIS;2340;SOL;C;18;RIS18;Milieu ouvert
RISTOLAS;RIS;2570;LIT;A;19;RIS19;Milieu ouvert
RISTOLAS;RIS;2570;LIT;B;20;RIS20;Milieu ouvert
RISTOLAS;RIS;2570;LIT;C;21;RIS21;Milieu ouvert
RISTOLAS;RIS;2570;SOL;A;22;RIS22;Milieu ouvert
RISTOLAS;RIS;2570;SOL;B;23;RIS23;Milieu ouvert
RISTOLAS;RIS;2570;SOL;C;24;RIS24;Milieu ouvert
RISTOLAS;RIS;2770;LIT;A;25;RIS25;Milieu ouvert
RISTOLAS;RIS;2770;LIT;B;26;RIS26;Milieu ouvert
RISTOLAS;RIS;2770;LIT;C;27;RIS27;Milieu ouvert
RISTOLAS;RIS;2770;SOL;A;28;RIS28;Milieu ouvert
RISTOLAS;RIS;2770;SOL;B;29;RIS29;Milieu ouvert
RISTOLAS;RIS;2770;SOL;C;30;RIS30;Milieu ouvert
RISTOLAS;RIS;2890;LIT;A;31;RIS31;Milieu ouvert
RISTOLAS;RIS;2890;LIT;B;32;RIS32;Milieu ouvert
RISTOLAS;RIS;2890;LIT;C;33;RIS33;Milieu ouvert
RISTOLAS;RIS;2890;SOL;A;34;RIS34;Milieu ouvert
RISTOLAS;RIS;2890;SOL;B;35;RIS35;Milieu ouvert
RISTOLAS;RIS;2890;SOL;C;36;RIS36;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;LIT;A;01;VCH01;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;LIT;B;02;VCH02;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;LIT;C;03;VCH03;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;SOL;A;04;VCH04;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;SOL;B;05;VCH05;Milieu ouvert
VIEUXCHAILLOL;VCH;2150;SOL;C;06;VCH06;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;LIT;A;07;VCH07;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;LIT;B;08;VCH08;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;LIT;C;09;VCH09;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;SOL;A;10;VCH10;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;SOL;B;11;VCH11;Milieu ouvert
VIEUXCHAILLOL;VCH;2330;SOL;C;12;VCH12;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;LIT;A;13;VCH13;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;LIT;B;14;VCH14;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;LIT;C;15;VCH15;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;SOL;A;16;VCH16;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;SOL;B;17;VCH17;Milieu ouvert
VIEUXCHAILLOL;VCH;2510;SOL;C;18;VCH18;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;LIT;A;19;VCH19;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;LIT;B;20;VCH20;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;LIT;C;21;VCH21;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;SOL;A;22;VCH22;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;SOL;B;23;VCH23;Milieu ouvert
VIEUXCHAILLOL;VCH;2760;SOL;C;24;VCH24;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;LIT;A;25;VCH25;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;LIT;B;26;VCH26;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;LIT;C;27;VCH27;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;SOL;A;28;VCH28;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;SOL;B;29;VCH29;Milieu ouvert
VIEUXCHAILLOL;VCH;2940;SOL;C;30;VCH30;Milieu ouvert